,Date,Time,CO(GT),PT08S1(CO),C6H6(GT),PT08S2(NMHC),NOx(GT),PT08S3(NOx),NO2(GT),PT08S4(NO2),PT08S5(O3),T
0,2004-03-10,2020-06-11 18:00:00,2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6
1,2004-03-10,2020-06-11 19:00:00,2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3
2,2004-03-10,2020-06-11 20:00:00,2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9
3,2004-03-10,2020-06-11 21:00:00,2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0
4,2004-03-10,2020-06-11 22:00:00,1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2
5,2004-03-10,2020-06-11 23:00:00,1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2
6,2004-03-11,2020-06-11 00:00:00,1.2,1185.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3
7,2004-03-11,2020-06-11 01:00:00,1.0,1136.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7
8,2004-03-11,2020-06-11 02:00:00,0.9,1094.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7
9,2004-03-11,2020-06-11 03:00:00,0.6,1010.0,1.7,561.0,242.18929,1705.0,112.145134,1235.0,501.0,10.3
10,2004-03-11,2020-06-11 04:00:00,2.1297114,1011.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1
11,2004-03-11,2020-06-11 05:00:00,0.7,1066.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0
12,2004-03-11,2020-06-11 06:00:00,0.7,1052.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5
13,2004-03-11,2020-06-11 07:00:00,1.1,1144.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2
14,2004-03-11,2020-06-11 08:00:00,2.0,1333.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8
15,2004-03-11,2020-06-11 09:00:00,2.2,1351.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5
16,2004-03-11,2020-06-11 10:00:00,1.7,1233.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8
17,2004-03-11,2020-06-11 11:00:00,1.5,1179.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5
18,2004-03-11,2020-06-11 12:00:00,1.6,1236.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5
19,2004-03-11,2020-06-11 13:00:00,1.9,1286.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3
20,2004-03-11,2020-06-11 14:00:00,2.9,1371.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0
21,2004-03-11,2020-06-11 15:00:00,2.2,1310.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3
22,2004-03-11,2020-06-11 16:00:00,2.2,1292.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7
23,2004-03-11,2020-06-11 17:00:00,2.9,1383.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8
24,2004-03-11,2020-06-11 18:00:00,4.8,1581.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3
25,2004-03-11,2020-06-11 19:00:00,6.9,1776.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7
26,2004-03-11,2020-06-11 20:00:00,6.1,1640.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6
27,2004-03-11,2020-06-11 21:00:00,3.9,1313.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1
28,2004-03-11,2020-06-11 22:00:00,1.5,965.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2
29,2004-03-11,2020-06-11 23:00:00,1.0,913.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2
30,2004-03-12,2020-06-11 00:00:00,1.7,1080.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3
31,2004-03-12,2020-06-11 01:00:00,1.9,1044.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7
32,2004-03-12,2020-06-11 02:00:00,1.4,988.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1
33,2004-03-12,2020-06-11 03:00:00,0.8,889.0,1.9,574.0,242.18929,1680.0,112.145134,1187.0,512.0,7.0
34,2004-03-12,2020-06-11 04:00:00,2.1297114,831.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1
35,2004-03-12,2020-06-11 05:00:00,0.6,847.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3
36,2004-03-12,2020-06-11 06:00:00,0.8,927.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8
37,2004-03-12,2020-06-11 07:00:00,1.4,1091.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4
38,2004-03-12,2020-06-11 08:00:00,4.4,1587.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3
39,2004-03-12,2020-06-11 09:00:00,2.1297114,1545.0,22.1,1353.0,242.18929,767.0,112.145134,2058.0,1588.0,9.2
40,2004-03-12,2020-06-11 10:00:00,3.1,1350.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2
41,2004-03-12,2020-06-11 11:00:00,2.7,1263.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3
42,2004-03-12,2020-06-11 12:00:00,2.1,1206.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0
43,2004-03-12,2020-06-11 13:00:00,2.5,1252.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1
44,2004-03-12,2020-06-11 14:00:00,2.7,1287.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3
45,2004-03-12,2020-06-11 15:00:00,2.9,1353.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8
46,2004-03-12,2020-06-11 16:00:00,2.8,1309.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9
47,2004-03-12,2020-06-11 17:00:00,2.4,1274.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9
48,2004-03-12,2020-06-11 18:00:00,3.9,1510.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1
49,2004-03-12,2020-06-11 19:00:00,3.7,1525.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4
50,2004-03-12,2020-06-11 20:00:00,6.6,1843.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9
51,2004-03-12,2020-06-11 21:00:00,4.4,1598.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1
52,2004-03-12,2020-06-11 22:00:00,3.5,1484.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0
53,2004-03-12,2020-06-11 23:00:00,5.4,1677.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7
54,2004-03-13,2020-06-11 00:00:00,2.7,1280.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5
55,2004-03-13,2020-06-11 01:00:00,1.9,1196.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1
56,2004-03-13,2020-06-11 02:00:00,1.6,1184.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8
57,2004-03-13,2020-06-11 03:00:00,1.7,1172.0,5.4,783.0,242.18929,1179.0,112.145134,1380.0,996.0,7.8
58,2004-03-13,2020-06-11 04:00:00,2.1297114,1147.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0
59,2004-03-13,2020-06-11 05:00:00,1.0,978.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3
60,2004-03-13,2020-06-11 06:00:00,1.2,1100.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2
61,2004-03-13,2020-06-11 07:00:00,1.5,1112.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3
62,2004-03-13,2020-06-11 08:00:00,2.7,1336.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5
63,2004-03-13,2020-06-11 09:00:00,3.7,1408.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6
64,2004-03-13,2020-06-11 10:00:00,3.2,1447.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4
65,2004-03-13,2020-06-11 11:00:00,4.1,1542.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6
66,2004-03-13,2020-06-11 12:00:00,3.6,1451.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4
67,2004-03-13,2020-06-11 13:00:00,2.8,1328.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4
68,2004-03-13,2020-06-11 14:00:00,2.0,1207.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0
69,2004-03-13,2020-06-11 15:00:00,2.0,1240.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4
70,2004-03-13,2020-06-11 16:00:00,2.5,1306.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6
71,2004-03-13,2020-06-11 17:00:00,2.3,1326.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7
72,2004-03-13,2020-06-11 18:00:00,3.2,1473.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1
73,2004-03-13,2020-06-11 19:00:00,4.2,1609.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8
74,2004-03-13,2020-06-11 20:00:00,4.2,1611.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7
75,2004-03-13,2020-06-11 21:00:00,4.2,1621.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3
76,2004-03-13,2020-06-11 22:00:00,3.1,1444.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6
77,2004-03-13,2020-06-11 23:00:00,2.6,1418.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7
78,2004-03-14,2020-06-11 00:00:00,2.9,1534.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9
79,2004-03-14,2020-06-11 01:00:00,2.8,1484.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6
80,2004-03-14,2020-06-11 02:00:00,2.5,1367.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5
81,2004-03-14,2020-06-11 03:00:00,2.4,1344.0,9.7,968.0,242.18929,921.0,112.145134,1620.0,1278.0,11.6
82,2004-03-14,2020-06-11 04:00:00,2.1297114,1130.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1
83,2004-03-14,2020-06-11 05:00:00,1.2,1062.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5
84,2004-03-14,2020-06-11 06:00:00,1.0,1076.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6
85,2004-03-14,2020-06-11 07:00:00,0.9,1028.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4
86,2004-03-14,2020-06-11 08:00:00,1.4,1155.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6
87,2004-03-14,2020-06-11 09:00:00,1.6,1235.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4
88,2004-03-14,2020-06-11 10:00:00,2.2,1332.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5
89,2004-03-14,2020-06-11 11:00:00,2.8,1445.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9
90,2004-03-14,2020-06-11 12:00:00,2.8,1416.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3
91,2004-03-14,2020-06-11 13:00:00,2.0,1281.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2
92,2004-03-14,2020-06-11 14:00:00,1.8,1207.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4
93,2004-03-14,2020-06-11 15:00:00,1.9,1258.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9
94,2004-03-14,2020-06-11 16:00:00,3.0,1458.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2
95,2004-03-14,2020-06-11 17:00:00,2.9,1438.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3
96,2004-03-14,2020-06-11 18:00:00,2.5,1478.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7
